Закон;Номер жалобы;Ссылка на жалобу;Статус;Решение;Предписание;Орган контроля;Заказчик;Заказчик ссылка;Лицо, подавшее жалобу;Поступление жалобы;Рассмотрение жалобы;Дата обновления;Извещение;Описание закупки;Идентификационный код закупки (ИКЗ);Решение документ
44-ФЗ (94-ФЗ);№ 202100125313000539;https://zakupki.gov.ru/epz/complaint/card/complaint-information.html?id=2168769;Рассмотрена;Признана обоснованной;Предписание не выдано;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ АНТИМОНОПОЛЬНОЙ СЛУЖБЫ ПО САХАЛИНСКОЙ ОБЛАСТИ;ДЕПАРТАМЕНТ ИМУЩЕСТВЕННЫХ ОТНОШЕНИЙ АДМИНИСТРАЦИИ КОРСАКОВСКОГО ГОРОДСКОГО ОКРУГА;https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=799890;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНТРАКТ""";29.11.2021;03.12.2021 11:30;30.11.2021;https://zakupki.gov.ru/epz/order/notice/view/common-info.html?regNumber=0861300002921000097;Выполнение работ по ликвидации аварийного и непригодного для проживания жилищного фонда, неиспользуемых и бесхозяйных объектов производственного и непроизводственного назначения;213650401643465040100101360014311244;https://zakupki.gov.ru/controls/documentIcrDownload?documentId=1368640
44-ФЗ (94-ФЗ);№ 202100122582000905;https://zakupki.gov.ru/epz/complaint/card/complaint-information.html?id=2168743;Рассмотрена;Признана обоснованной;Предписание выдано;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ АНТИМОНОПОЛЬНОЙ СЛУЖБЫ ПО ИВАНОВСКОЙ ОБЛАСТИ;АДМИНИСТРАЦИЯ ФУРМАНОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=735963;Меньшиков Роман Анатольевич;25.11.2021;02.12.2021 11:00;29.11.2021;https://zakupki.gov.ru/epz/order/notice/view/common-info.html?regNumber=0133200001721003468;Установка систем контроля линий электроосвещения, установка недостающего и восстановление существующего оборудования на искусственных сооружениях для функционирования систем освещения в рамках содержания автомобильных дорог местного значения;213370500156037050100101910014321244;https://zakupki.gov.ru/controls/documentIcrDownload?documentId=1369704
44-ФЗ (94-ФЗ);№ 202100143237001013;https://zakupki.gov.ru/epz/complaint/card/complaint-information.html?id=2168620;Рассмотрена;Признана обоснованной;Предписание не выдано;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ АНТИМОНОПОЛЬНОЙ СЛУЖБЫ ПО БРЯНСКОЙ ОБЛАСТИ;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""БРЯНСКАЯ ОБЛАСТНАЯ ДЕТСКАЯ БОЛЬНИЦА""";https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=676456;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙТРАСТ""";26.11.2021;03.12.2021 12:00;29.11.2021;https://zakupki.gov.ru/epz/order/notice/view/common-info.html?regNumber=0127200000221006176;Капитальный ремонт фасадов ГБУЗ «Брянская областная детская больница»;212323401426932570100104230034399243;
44-ФЗ (94-ФЗ);№ 202100116297003065;https://zakupki.gov.ru/epz/complaint/card/complaint-information.html?id=2168607;Рассмотрена;Признана обоснованной;Предписание не выдано;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ АНТИМОНОПОЛЬНОЙ СЛУЖБЫ ПО СТАВРОПОЛЬСКОМУ КРАЮ;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СТАВРОПОЛЬСКОГО КРАЯ ""СТАВРОПОЛЬСКИЙ КРАЕВОЙ КЛИНИЧЕСКИЙ ОНКОЛОГИЧЕСКИЙ ДИСПАНСЕР""";https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=789365;ООО Адванта;25.11.2021;02.12.2021 08:30;29.11.2021;https://zakupki.gov.ru/epz/order/notice/view/common-info.html?regNumber=0321200014121000697;Поставка изделий медицинского назначения;212263300166126360100109860012219244;https://zakupki.gov.ru/controls/documentIcrDownload?documentId=1369241
44-ФЗ (94-ФЗ);№ 202100143237001011;https://zakupki.gov.ru/epz/complaint/card/complaint-information.html?id=2168602;Рассмотрена;Признана обоснованной;Предписание не выдано;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ АНТИМОНОПОЛЬНОЙ СЛУЖБЫ ПО БРЯНСКОЙ ОБЛАСТИ;"ГОСУДАРСТВЕННОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА БРЯНСКОЙ ОБЛАСТИ""";https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=1383009;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙТРАСТ""";26.11.2021;03.12.2021 11:00;29.11.2021;https://zakupki.gov.ru/epz/order/notice/view/common-info.html?regNumber=0127200000221006174;Выполнение строительно-монтажных работ  по объекту «Административно-морфологический корпус ГБУЗ «Брянское областное бюро судебно-медицинской экспертизы»;212323404734532570100102300014399414;
44-ФЗ (94-ФЗ);№ 202100116297003063;https://zakupki.gov.ru/epz/complaint/card/complaint-information.html?id=2168549;Рассмотрена;Признана обоснованной;Предписание выдано;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ АНТИМОНОПОЛЬНОЙ СЛУЖБЫ ПО СТАВРОПОЛЬСКОМУ КРАЮ;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СТАВРОПОЛЬСКОГО КРАЯ ""АРЗГИРСКАЯ РАЙОННАЯ БОЛЬНИЦА""";https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=781351;ООО Аква;25.11.2021;02.12.2021 11:00;29.11.2021;https://zakupki.gov.ru/epz/order/notice/view/common-info.html?regNumber=0321300065121000043;Поставка дезинфицирующих средств в 2022 году;212260400030326040100100550012020244;https://zakupki.gov.ru/controls/documentIcrDownload?documentId=1369258
44-ФЗ (94-ФЗ);№ 202100116297003056;https://zakupki.gov.ru/epz/complaint/card/complaint-information.html?id=2168526;Рассмотрена;Признана обоснованной;Предписание выдано;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ АНТИМОНОПОЛЬНОЙ СЛУЖБЫ ПО СТАВРОПОЛЬСКОМУ КРАЮ;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СТАВРОПОЛЬСКОГО КРАЯ ""КРАЕВАЯ СПЕЦИАЛИЗИРОВАННАЯ ПСИХИАТРИЧЕСКАЯ БОЛЬНИЦА №3""";https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=771684;ООО «Царский Мясник «Купцов»;25.11.2021;02.12.2021 10:00;29.11.2021;https://zakupki.gov.ru/epz/order/notice/view/common-info.html?regNumber=0321200031821000041;поставка продуктов питания;212262801729626280100100230040000244;https://zakupki.gov.ru/controls/documentIcrDownload?documentId=1368805
44-ФЗ (94-ФЗ);№ 202100116297003054;https://zakupki.gov.ru/epz/complaint/card/complaint-information.html?id=2168521;Рассмотрена;Признана обоснованной;Предписание выдано;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ АНТИМОНОПОЛЬНОЙ СЛУЖБЫ ПО СТАВРОПОЛЬСКОМУ КРАЮ;АДМИНИСТРАЦИЯ КРАСНОГВАРДЕЙСКОГО МУНИЦИПАЛЬНОГО ОКРУГА СТАВРОПОЛЬСКОГО КРАЯ;https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=2275556;ИП Меньшиков Р.А.;25.11.2021;02.12.2021 12:00;29.11.2021;https://zakupki.gov.ru/epz/order/notice/view/common-info.html?regNumber=0121600018621000168;Благоустройство общественных территорий в селе Красногвардейское Красногвардейского района Ставропольского края;213261100902526110100100291688129244;https://zakupki.gov.ru/controls/documentIcrDownload?documentId=1368707
44-ФЗ (94-ФЗ);№ 202100187298008477;https://zakupki.gov.ru/epz/complaint/card/complaint-information.html?id=2168440;Рассмотрена;Признана обоснованной;Предписание выдано;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ АНТИМОНОПОЛЬНОЙ СЛУЖБЫ ПО МОСКОВСКОЙ ОБЛАСТИ;"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР УПРАВЛЕНИЯ ЗАКУПКАМИ"" ТАЛДОМСКОГО ГОРОДСКОГО ОКРУГА";https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=2160231;"ООО ""Круг Плюс""";24.11.2021;30.11.2021 17:20;26.11.2021;https://zakupki.gov.ru/epz/order/notice/view/common-info.html?regNumber=0848300060621000518;Выполнение работ по  установке, замене и ремонту дорожных знаков на автомобильных дорогах общего пользования местного значения Талдомского городского округа в 2022 году;213507800172150780100103470014211244;https://zakupki.gov.ru/controls/documentIcrDownload?documentId=1369765
44-ФЗ (94-ФЗ);№ 202100100161006109;https://zakupki.gov.ru/epz/complaint/card/complaint-information.html?id=2168437;Рассмотрена;Признана обоснованной;Предписание выдано;ФЕДЕРАЛЬНАЯ АНТИМОНОПОЛЬНАЯ СЛУЖБА;МИНИСТЕРСТВО ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ПЕРМСКОГО КРАЯ;https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=1391794;"ООО ""Стройтраст""";26.11.2021;30.11.2021 10:00;26.11.2021;https://zakupki.gov.ru/epz/order/notice/view/common-info.html?regNumber=0156200009921000864;Выполнение работ по реконструкции транспортной развязки в разных уровнях на пересечении ул. Вишерской и Транссибирской магистрали в г. Перми;212590219293459020100101210010000407;https://zakupki.gov.ru/controls/documentIcrDownload?documentId=1368306
